requestId	songTitle	songArtist	isNonlist	amount	requesterId	requesterName	requestSource	note	createdAt	playedAt
2569471	Losing My Religion (MauColi piano version)	R.E.M	0	12.78	4015967	NachoBroRyan	manual	after free song request	2021-04-13T22:07:51-08:00	2021-04-13T22:07:51-08:00
2569441	Twilight and Mist		1	10	4017016	moq9981	manual		2021-04-13T21:56:58-08:00	2021-04-13T21:56:58-08:00
2569425	 Over the Rainbow	Israel Kamakawiwoʻole	0	5	4016994	pyrotheory	manual	resub x2	2021-04-13T21:50:31-08:00	2021-04-13T21:50:31-08:00
2569396	Nocturne in G minor, Op.15, No.3	Chopin	0	0.01	4016967	AlexRockJazz	manual	channel pt	2021-04-13T21:42:22-08:00	2021-04-13T21:42:22-08:00
2569378	Mario Kart Wii - Rainbow Road	-	0	0	4016953	SpiritLiveLoopartist	manual	gift subs/bits	2021-04-13T21:37:09-08:00	2021-04-13T21:37:09-08:00
2569357	Inuyasha - Futari no Kimochi (To Love's end)	Inuyasha	0	10	4016762	Violinanthony	manual		2021-04-13T21:30:39-08:00	2021-04-13T21:30:39-08:00
2569341	Clara's Theme		1	0.01	4016747	Condoulo_	manual	https://musescore.com/user/28224/scores/4875169	2021-04-13T21:24:52-08:00	2021-04-13T21:24:52-08:00
2569323	The Heart of Worship	Matt Redman	0	5	4016758	Jonlimusic	manual	resub x6 "I'm still hanging out with my dad and his request is Heart of worship"	2021-04-13T21:18:54-08:00	2021-04-13T21:18:54-08:00
2569305	To Zanarkand	Final Fantasy X 	0	11.11	4016689	aaron	manual		2021-04-13T21:12:20-08:00	2021-04-13T21:12:20-08:00
2569283	Mickey - Bill Conti		1	33.33	4016798	aaron_w_	manual	https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0057526	2021-04-13T21:05:09-08:00	2021-04-13T21:05:09-08:00
2569232	A Midnight Rain by David Nevue		1	24.67	4016687	Nachobroryan	manual	https://bit.ly/3dfWU7R	2021-04-13T20:52:38-08:00	2021-04-13T20:52:38-08:00
2569188	Lord Hold My Hand		1	10	4016650	actionomviefan3000	manual	https://sheetmusic-free.com/lord-hold-my-hand-sheet-music-yiruma/	2021-04-13T20:42:57-08:00	2021-04-13T20:42:57-08:00
2569145	Moonlight Densetsu		1	20	4016581	Animexcel	manual	"Moonlight Densetsu" Sailor Moon theme. I dm'ed the sheet music on discord	2021-04-13T20:32:34-08:00	2021-04-13T20:32:34-08:00
2569113	Suteki Da Ne- Final Fantasy X		1	0.1	4016361	OuttaPWN3D	manual	https://musescore.com/user/5918261/scores/4459821?share=copy_link	2021-04-13T20:24:55-08:00	2021-04-13T20:24:55-08:00
2569079	Clair de Lune	Debussy	0	5	4016294	Bagelsmmmm	manual		2021-04-13T20:16:28-08:00	2021-04-13T20:16:28-08:00
2569042	Fantasy BY EARTH WIND & FIRE		1	33.33	4016548	AngeliqueLovesJazz 	manual	https://www.musicnotes.com/sheetmusic/mtd.asp?ppn=MN0065476	2021-04-13T20:09:36-08:00	2021-04-13T20:09:36-08:00
2569001	Doctor Who Main Theme 2005 - 2007		1	20	4016403	condoulo	manual	https://musescore.com/user/89075/scores/4677401?share=copy_link	2021-04-13T20:01:01-08:00	2021-04-13T20:01:01-08:00
2568899	Oceans	Hillsong United	0	0.1	4016024	flyyyzer	manual	winner	2021-04-13T19:41:14-08:00	2021-04-13T19:41:14-08:00
2568846	This is Gallifrey - Doctor Who	Ron Grainer	0	5	4016354	condoulo	manual	gift sub	2021-04-13T19:32:11-08:00	2021-04-13T19:32:11-08:00
2568809	Don't Let the Sun Go Down on Me	Elton John	0	5	4016019	LinkSamus3	manual	resubed	2021-04-13T19:25:47-08:00	2021-04-13T19:25:48-08:00
2568748	Moonlight Sonata 3rd Movement	Beethoven	0	7	4015996	bagelsmmmm	manual	bits	2021-04-13T19:14:58-08:00	2021-04-13T19:14:58-08:00
2568677	I Give you My Heart - Crash Landing on You OST	Lee Ji-Eun	0	10	4015904	violinanthony	manual		2021-04-13T19:04:52-08:00	2021-04-13T19:04:52-08:00
2568666	Improvisation	MiaMetzMusic	0	50	4016094	modestnature79	manual	gifted	2021-04-13T19:03:21-08:00	2021-04-13T19:03:21-08:00
2568485	Rivers in the Desert - Persona 5	Shoji Meguro	0	10	4015868	daanik	manual		2021-04-13T18:35:40-08:00	2021-04-13T18:35:40-08:00
2568432	Kass's theme (The Champion's Ballad)	Manaka Kataoka	0	10	4015529	wolfried	manual	bits	2021-04-13T18:27:16-08:00	2021-04-13T18:27:16-08:00
2568398	Sing as a song Plz		1	10	4015874	aaron_w_	manual	pick a song you would like to sing	2021-04-13T18:23:20-08:00	2021-04-13T18:23:20-08:00
2568328	Myriad Days	Eluvium	0	5	4015486	NachoBroRyan	manual	gifted	2021-04-13T18:12:50-08:00	2021-04-13T18:12:50-08:00
2568270	An End Once and For All (Mass Effect 3)	Sam Hulick, Clint Mansell	0	5	4015433	geekydude80	manual	resub	2021-04-13T18:06:15-08:00	2021-04-13T18:06:15-08:00
2568222	Words Don’t Come Easy - Mamamoo		1	22.22	4015660	aaron_w_	manual		2021-04-13T18:00:09-08:00	2021-04-13T18:00:09-08:00
2568158	Kiseki - Pokemon X&Y Ending Theme	Shota Kageyama	0	5	4015416	condoulo	manual	gifted	2021-04-13T17:53:12-08:00	2021-04-13T17:53:12-08:00
2568114	Inochi No Namae - Spirited Away	-	0	5	4015383	bryanquach	manual	resubed	2021-04-13T17:48:08-08:00	2021-04-13T17:48:08-08:00
2568051	Oogway Ascends (from Kung Fu Panda)	Hans Zimmer	0	25	4015424	violinanthony	manual	gifted	2021-04-13T17:41:09-08:00	2021-04-13T17:41:09-08:00
2567979	Love Hurts	Incubus	0	0	4015336	carlinmcool	extension		2021-04-13T17:32:49-08:00	2021-04-13T17:32:49-08:00
2567912	Breathe me	Sia	0	0	4015333	aaron_w_	twitch-chat		2021-04-13T17:24:32-08:00	2021-04-13T17:24:32-08:00
2556567	Tabi no Tochuu - Spice and Wolf	-	0	0	4001844	mastes21	extension		2021-04-12T12:05:03-08:00	2021-04-12T12:05:03-08:00
2556482	Giorno's Theme	Jojo's Bizarre Adventure	0	0	4001801	rmagic96	extension		2021-04-12T11:55:16-08:00	2021-04-12T11:55:16-08:00
2556452	The Scientist	Coldplay	0	0	4001784	sundancehelix	extension		2021-04-12T11:51:30-08:00	2021-04-12T11:51:30-08:00
2556376	Hanezeve Caradhina	Kevin Penkin	0	0	4001776	sirfredy8	website		2021-04-12T11:44:30-08:00	2021-04-12T11:44:30-08:00
2556320	Je Me Souviens	Lara Fabian	0	0	4001749	aaron_w_	twitch-chat		2021-04-12T11:38:42-08:00	2021-04-12T11:38:42-08:00
2556261	Victory	Two Steps From Hell	0	5	4001879	Tecknobill	manual	500 bits	2021-04-12T11:33:27-08:00	2021-04-12T11:33:27-08:00
2556037	Go the Distance (from Hercules)	Alan Menken	0	0	4001259	tecknobill	website		2021-04-12T11:12:50-08:00	2021-04-12T11:12:50-08:00
2555987	New York State of Mind	Billy Joel	0	0	4001206	maple_syrup_steve	twitch-chat		2021-04-12T11:07:31-08:00	2021-04-12T11:07:31-08:00
2555888	 Dan Dan Kokoro Hikareteku	Dragon Ball GT	0	0	4001202	animexcel0113	website		2021-04-12T10:57:41-08:00	2021-04-12T10:57:41-08:00
2555820	I Give you My Heart - Crash Landing on You OST	Lee Ji-Eun	0	0	4001169	katsu95	website		2021-04-12T10:51:00-08:00	2021-04-12T10:51:00-08:00
2555737	Nuvole Bianche	Ludovico Einaudi	0	0	4001168	Genslash	manual		2021-04-12T10:43:53-08:00	2021-04-12T10:43:53-08:00
2555605	Inherent Mosaic	Eluvium	0	5	4000853	NachoBroRyan_	manual		2021-04-12T10:31:21-08:00	2021-04-12T10:31:21-08:00
2555558	I Don't Want to Miss a Thing	Aerosmith 	0	0	4000635	codernem	website		2021-04-12T10:25:47-08:00	2021-04-12T10:25:47-08:00
2555486	Never Gonna Give You Up (A Rick Roll)	Rick Astley	0	0	4000631	marethyw	website		2021-04-12T10:18:05-08:00	2021-04-12T10:18:05-08:00
2555440	Kiseki - Pokemon X&Y Ending Theme	Shota Kageyama	0	0	4000622	condoulo	twitch-chat		2021-04-12T10:12:59-08:00	2021-04-12T10:12:59-08:00
2555377	River Flows In You	Yiruma	0	0	4000621	tecknobill	twitch-chat		2021-04-12T10:06:32-08:00	2021-04-12T10:06:32-08:00
2555325	Skyfall	Adele	0	5	4000723	javi1092_	manual	resub x4	2021-04-12T10:00:51-08:00	2021-04-12T10:00:51-08:00
2555261	Riko's Theme (Made in Abyss	Kevin Penkin	0	5	4000719	SirFredy8_	manual	500 bits	2021-04-12T09:52:52-08:00	2021-04-12T09:52:52-08:00
2555207	Recital	Eluvium	0	6.89	4000625	NachoBroRyan	twitch-chat		2021-04-12T09:45:52-08:00	2021-04-12T09:45:52-08:00
2543830	A Thousand Years	Christina Perri (Twilight Movie)	0	0	3987354		manual		2021-04-10T21:36:48-08:00	2021-04-10T21:36:48-08:00
2543785	Stand by Me	Ben E. King	0	0	3987333		manual		2021-04-10T21:22:42-08:00	2021-04-10T21:22:42-08:00
2543759	Don’t Worry Be Happy	Bobby McFerrin	0	11.11	3987316	aaron_w_	twitch-chat		2021-04-10T21:16:03-08:00	2021-04-10T21:16:03-08:00
2543723	Where the Water Flows	David Nuvue	0	5.21	3987212	NachoBroRyan	twitch-chat		2021-04-10T21:06:01-08:00	2021-04-10T21:06:01-08:00
2543684	Merry Go Round of Life - Howl's Moving Castle	Joe Hisaishi	0	10	3987211	angelique	manual		2021-04-10T20:57:14-08:00	2021-04-10T20:57:14-08:00
2543666	In the Air Tonight	Phil Collins	0	111.11	3987208	aaron_w_	twitch-chat		2021-04-10T20:52:58-08:00	2021-04-10T20:52:58-08:00
2543639	Kiseki - Pokemon X&Y Ending Theme	Shota Kageyama	0	0	3987192	Condoulo	manual		2021-04-10T20:46:43-08:00	2021-04-10T20:46:43-08:00
2543616	Flight of the Bumble Bee 	Rimsky-Korsakov	0	0	3987182	Mia	manual		2021-04-10T20:41:07-08:00	2021-04-10T20:41:07-08:00
2543605	Chapsticks (Jazz Version)		0	0	3987164	MissyAlcazarMusic	twitch-chat	Raid	2021-04-10T20:38:15-08:00	2021-04-10T20:38:15-08:00
2543150	In the Hall of the Mountain King -  Peer Gynt Op.46 No.4	Edvard Grieg	0	0	3984456	Mia	manual		2021-04-10T19:12:17-08:00	2021-04-10T19:12:17-08:00
2543121	Dance of Anitra - Peer Gynt Op.46 No.3	Edvard Grieg	0	0	3984454	Mia	manual		2021-04-10T19:07:38-08:00	2021-04-10T19:07:38-08:00
2543119	Morning Mood - Peer Gynt Op.46 No.1 	Edvard Grieg	0	0	3984451	Mia	manual		2021-04-10T19:07:36-08:00	2021-04-10T19:07:36-08:00
2543069	Slavonic Dance Op.46, No.8	Antonín Dvořák	0	0	3984449	Mia	manual		2021-04-10T18:57:51-08:00	2021-04-10T18:57:51-08:00
2543019	Hungarian Dance No. 5	Johannes Brahms	0	0	3984443	Mia	manual		2021-04-10T18:50:29-08:00	2021-04-10T18:50:29-08:00
2543000	When She Loved Me (Toy Story 2)	Randy Newman	0	0	3984433	Mia	manual		2021-04-10T18:47:08-08:00	2021-04-10T18:47:08-08:00
2542962	You've Got a Friend in Me	Randy Newman	0	0	3984430	Mia	manual		2021-04-10T18:41:44-08:00	2021-04-10T18:41:44-08:00
2542949	Kiss the Girl (The Little Mermaid)	Alan Menken	0	0	3984425	Mia	manual		2021-04-10T18:39:33-08:00	2021-04-10T18:39:33-08:00
2542922	I See the Light (Tangled)	Alan Menken	0	0	3984415	Mia	manual		2021-04-10T18:36:17-08:00	2021-04-10T18:36:17-08:00
2542851	Hakuna Matata (The Lion King)	Elton John	0	0	3984410	Mia	manual		2021-04-10T18:25:36-08:00	2021-04-10T18:25:36-08:00
2542813	Chim Chim Cheree	Richard M. Sherman	0	0	3984404	Mia	manual		2021-04-10T18:18:52-08:00	2021-04-10T18:18:52-08:00
2542757	Belle (Beauty and the Beast)	Alan Menken	0	0	3984403	Mia	manual		2021-04-10T18:10:32-08:00	2021-04-10T18:10:32-08:00
2542731	The Bare Necessities	Terry Gilkyson	0	0	3984396	Mia	manual		2021-04-10T18:05:27-08:00	2021-04-10T18:05:27-08:00
2535768	Improvisation	MiaMetzMusic	0	0	3977574		manual		2021-04-09T22:39:18-08:00	2021-04-09T22:39:18-08:00
2535717	Phantom of the Opera Medley	Andrew Lloyd Weber	0	111.11	3977444	aaarrrrrgggggggg	manual	w/ Dark Mia	2021-04-09T22:26:08-08:00	2021-04-09T22:26:08-08:00
2535660	Moonlight Sonata 1st Movement	Beethoven	0	0	3977436	Moxerrs	manual		2021-04-09T22:12:44-08:00	2021-04-09T22:12:44-08:00
2535629	Oath Sign		1	10	3977431	Anony	manual	https://musescore.com/qazxsw1240/scores/4814095	2021-04-09T22:06:12-08:00	2021-04-09T22:06:13-08:00
2535609	My Soul Your Beats	Angel Beats	0	0.01	3977190	actionmoviefan3000	manual		2021-04-09T22:01:42-08:00	2021-04-09T22:01:42-08:00
2535568	Kind of Sorrow- A-lin		1	20	3977125	mannylam 	manual	score on discord	2021-04-09T21:54:54-08:00	2021-04-09T21:54:54-08:00
2535562	Unravel - Tokyo Ghoul OP		1	250	3977387	moxxers	manual	https://www.youtube.com/watch?v=sEQf5lcnj_o&ab_channel=AnimenzPianoSheets	2021-04-09T21:53:27-08:00	2021-04-09T21:53:27-08:00
2535504	The Logical Song	Supertramp	0	5	3977021	aaron	manual	gift sub	2021-04-09T21:41:17-08:00	2021-04-09T21:41:17-08:00
2535467	While The Trees Sleep by David Nevue 		1	0.01	3976954	NachoBroRyan	manual	score in discord music-share channel	2021-04-09T21:34:00-08:00	2021-04-09T21:34:00-08:00
